;Banco Mercantil do Brasil;banco;;-45,4546587;22,424113
;Banco Bradesco;banco;;-45,4530733;22,4236241
;Banco Itau;banco;;-45,4541012;22,4249521
;Bar Don Costello;bar;;-45,446459;22,4255874
;Taberna Bistro Pirata;bar;;-45,4527555;22,4251538
;Bar Cultural;bar;;-45,4556763;22,4302686
;Cine Club Itajubá،;cinema;;-45,4521078;22,4246956
;Bar e Lanchonete da Tia;comida;;-45,4497779;22,4305082
;Posto Avalon;posto;;-45,4475577;22,4267737
;Santa Casa de Misericordia de Itajubá،;hospital;;-45,4502326;22,4214706
;UBS Santa Rita de Cássia;hospital;;-45,4398901;22,4365617
;Hospital Escola;hospital;;-45,4606648;22,4193089
;Drogasil;farmacia;;-45,4540749;22,4252764
;Drogaria São Paulo;farmacia;;-45,4541029;22,4240785
;Polícia Civil;policia;;-45,4495817;22,4241736
;Toca do Caboclo;comida;;-45,4468333;22,4292763
;Pizzaria Varanda;comida;;-45,4455975;22,4214733
;comida e Xodó;comida;;-45,4523939;22,4221378
;Teatro Cristiane Riera;cultura;;-45,4367193;22,4118494
;Universidade Federal de Itajubá;universidade;;-45,4502726;22,4137971