;Banco Mercantil do Brasil;banco;;-22.4241;-45.4547
;Banco Bradesco;banco;;-22.4236;-45.4531
;Banco Itau;banco;;-22.4250;-45.4541
;Bar Don Costello;bar;;-22.4256;-45.4465
;Taberna Bistro Pirata;bar;;-22.4252;-45.4528
;Bar Cultural;bar;;-22.4303;-45.4557
;Cine Club Itajubá،;cultura;;-22.4247;-45.4521
;Bar e Lanchonete da Tia;comida;;-22.4305;-45.4498
;Posto Avalon;posto;;-22.4268;-45.4476
;Santa Casa de Misericordia de Itajubá،;hospital;;-22.4215;-45.4502
;UBS Santa Rita de Cássia;hospital;;-22.4366;-45.4399
;Hospital Escola;hospital;;-22.4193;-45.4607
;Drogasil;farmacia;;-22.4253;-45.4541
;Drogaria São Paulo;farmacia;;-22.4241;-45.4541
;Polícia Civil;policia;;-22.4242;-45.4496
;Toca do Caboclo;comida;;-22.4293;-45.4468
;Pizzaria Varanda;comida;;-22.4215;-45.4456
;comida e Xodó;comida;;-22.4221;-45.4524
;Teatro Cristiane Riera;cultura;;-22.4118;-45.4367
;Universidade Federal de Itajubá;universidade;;-22.4138;-45.4503